location_id,date,maxtemp_c,load_process_dt
"Bangkok, Thailand",2024-10-07,32.9,2025-01-16 15:14:23
"Chiang Mai, Thailand",2024-10-08,31.7,2025-01-16 15:14:23
"Hat Yai, Thailand",2024-10-09,31.4,2025-01-16 15:14:23
"Pattaya, Thailand",2024-10-07,30.6,2025-01-16 15:14:23
"Phuket, Thailand",2024-10-08,29.0,2025-01-16 15:14:23
