location_id,date,maxtemp_c,load_process_dt
"Bangkok, Thailand",2024-05-27,32.9,2025-02-13 21:13:38
"Chiang Mai, Thailand",2024-05-28,31.7,2025-02-13 21:13:38
"Hat Yai, Thailand",2024-05-29,31.4,2025-02-13 21:13:38
"Pattaya, Thailand",2024-05-27,30.6,2025-02-13 21:13:38
"Phuket, Thailand",2024-05-28,29.0,2025-02-13 21:13:38
