location_id,date,maxtemp_c,totalprecip_mm,maxwind_kph,alert_extreme_heat,alert_storm,load_process_dt
"Bangkok, Thailand",2024-05-29,,26.8,10.4,False,True,2025-02-13 21:13:38
"Phuket, Thailand",2024-05-27,28.2,4.56,18.7,False,True,2025-02-13 21:13:38
"Pattaya, Thailand",2024-05-28,29.8,27.37,15.8,False,True,2025-02-13 21:13:38
